
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048949                       # Number of seconds simulated (Second)
simTicks                                  48948578725                       # Number of ticks simulated (Tick)
finalTick                                 48948578725                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    574.75                       # Real time elapsed on the host (Second)
hostTickRate                                 85165709                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8934956                       # Number of bytes of host memory used (Byte)
simInsts                                     43664702                       # Number of instructions simulated (Count)
simOps                                       60888170                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    75972                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     105939                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        73386176                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.680675                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.594999                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       61263733                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     243                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      61239867                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                    55                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              375776                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           153863                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                120                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           73338883                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.835026                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.422019                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 46235166     63.04%     63.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 12231537     16.68%     79.72% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5233757      7.14%     86.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4222760      5.76%     92.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2764941      3.77%     96.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  1382315      1.88%     98.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   991313      1.35%     99.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   263433      0.36%     99.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    13661      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             73338883                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  14362     65.41%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     65.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                    27      0.12%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     2      0.01%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     65.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     65.54% # attempts to use FU when none available (Count)
