
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026335                       # Number of seconds simulated (Second)
simTicks                                  26334529116                       # Number of ticks simulated (Tick)
finalTick                                 26334529116                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    339.31                       # Real time elapsed on the host (Second)
hostTickRate                                 77612214                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9711644                       # Number of bytes of host memory used (Byte)
simInsts                                     43664702                       # Number of instructions simulated (Count)
simOps                                       60888170                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   128687                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     179447                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        63152349                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.446302                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.691418                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       61283181                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     252                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      61249611                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   129                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              395249                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           197986                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                129                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           63099588                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.970682                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.605489                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 41313130     65.47%     65.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4373929      6.93%     72.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  6289384      9.97%     82.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5421939      8.59%     90.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2412394      3.82%     94.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2035590      3.23%     98.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   704472      1.12%     99.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   413261      0.65%     99.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   135489      0.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             63099588                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  17996      6.19%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      6.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      6.19% # attempts to use FU when none available (Count)
