
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000397                       # Number of seconds simulated (Second)
simTicks                                    396614121                       # Number of ticks simulated (Tick)
finalTick                                   396614121                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.18                       # Real time elapsed on the host (Second)
hostTickRate                                 64136868                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9699892                       # Number of bytes of host memory used (Byte)
simInsts                                       763443                       # Number of instructions simulated (Count)
simOps                                        1337616                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   123454                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     216302                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          951114                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.245822                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.802683                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                        1495248                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    3890                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                       1455766                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  1749                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              161516                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           220471                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               1121                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             815195                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.785789                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.368021                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   438798     53.83%     53.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    58063      7.12%     60.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    58944      7.23%     68.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    55294      6.78%     74.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    58216      7.14%     82.10% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    47237      5.79%     87.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    58895      7.22%     95.12% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    26470      3.25%     98.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    13278      1.63%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               815195                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  21648     73.93%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     73.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   345      1.18%     75.11% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     4      0.01%     75.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    83      0.28%     75.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    6      0.02%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha3                    0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSm4e                    0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCrc                     0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDotProd                 0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::Matrix                      0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MatrixMov                   0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MatrixOP                    0      0.00%     75.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead                  4807     16.42%     91.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite                 1911      6.53%     98.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead               97      0.33%     98.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite             381      1.30%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdIndexedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
