
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000320                       # Number of seconds simulated (Second)
simTicks                                    320204292                       # Number of ticks simulated (Tick)
finalTick                                   320204292                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.36                       # Real time elapsed on the host (Second)
hostTickRate                                 23965511                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9708408                       # Number of bytes of host memory used (Byte)
simInsts                                      1671998                       # Number of instructions simulated (Count)
simOps                                        3268636                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   125138                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     244636                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          767877                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.677730                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.596043                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         932350                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     492                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        948726                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   139                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               35367                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            52614                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                204                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             680991                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.393155                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.599912                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   244341     35.88%     35.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   180486     26.50%     62.38% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   147168     21.61%     83.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    48220      7.08%     91.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    16779      2.46%     93.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    14658      2.15%     95.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    18613      2.73%     98.42% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     8648      1.27%     99.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2078      0.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               680991                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  12226     95.81%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     95.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                    59      0.46%     96.27% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     96.27% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     3      0.02%     96.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    2      0.02%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     96.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     96.31% # attempts to use FU when none available (Count)
